episode,makespan,sum_of_costs,collisions,tasks_completed,cbs_nodes_expanded,allocation_time_ms,total_distance_cells,episode_timeout,method_name
0,39,103,0,8,1,21.097183227539062,87.0,False,CBS+Hungarian
1,40,108,6,8,51,29.261112213134766,91.0,False,CBS+Hungarian
2,34,100,0,8,1,1.5120506286621094,84.0,False,CBS+Hungarian
3,35,92,0,8,51,27.184486389160156,75.0,False,CBS+Hungarian
4,37,111,71,8,51,84.66506004333496,94.0,False,CBS+Hungarian
1000,4,11,0,0,0,0.0,7.0,False,Greedy A*
1001,6,18,0,0,0,0.0,14.0,False,Greedy A*
2000,4,11,0,0,0,0.0,7.0,False,Prioritized A*
2001,6,18,0,0,0,0.0,14.0,False,Prioritized A*
3000,39,103,0,8,1,20.816802978515625,87.0,False,CBS+Hungarian
3001,36,81,0,8,2,1.013040542602539,65.0,False,CBS+Hungarian
