episode,makespan,sum_of_costs,collisions,tasks_completed,cbs_nodes_expanded,allocation_time_ms,total_distance_cells,episode_timeout,method_name
0,39,103,0,8,1,20.560503005981445,87.0,False,CBS+Hungarian
1,40,108,6,8,51,28.41043472290039,91.0,False,CBS+Hungarian
2,34,100,0,8,1,0.9958744049072266,84.0,False,CBS+Hungarian
3,35,92,0,8,51,27.19593048095703,75.0,False,CBS+Hungarian
4,37,111,71,8,51,69.40960884094238,94.0,False,CBS+Hungarian
1000,4,11,0,0,0,0.0,7.0,False,Greedy A*
1001,6,18,0,0,0,0.0,14.0,False,Greedy A*
2000,4,11,0,0,0,0.0,7.0,False,Prioritized A*
2001,6,18,0,0,0,0.0,14.0,False,Prioritized A*
3000,39,103,0,8,1,20.071029663085938,87.0,False,CBS+Hungarian
3001,36,81,0,8,2,1.9924640655517578,65.0,False,CBS+Hungarian
